"ine","Ficha","Municipio","Provincia","Comarca","Total","ODS","name","value"
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods16","ods16.tasaCrimConv",NA
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods16","ods16.percVotants",55.86
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods16","ods16.deut.hab",52.1
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods17","ods17.coopIngr",0.01
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods17","ods17.coopHab",0.1
"08007","08007-arenys-de-munt","Arenys de Munt","Barcelona","Maresme",9444,"ods01","ods01.rdfb.hab",19320
"08007","08007-arenys-de-munt","Arenys de Munt","Barcelona","Maresme",9444,"ods01","ods01.PobrSev",5.7
"08007","08007-arenys-de-munt","Arenys de Munt","Barcelona","Maresme",9444,"ods01","ods01.Gasto_23perHab",86.3
"08007","08007-arenys-de-munt","Arenys de Munt","Barcelona","Maresme",9444,"ods2","ods2.propEco",2.7
"08007","08007-arenys-de-munt","Arenys de Munt","Barcelona","Maresme",9444,"ods2","ods2.propSau",5.1
