Atur registrat. Per sexe. Mitjanes anuals;;;;
Municipis. 2024;;;;
Unitats: Persones.;;;;
Font: Departament d'Empresa i Treball.;;;;
Institut d'Estadística de Catalunya;;;;
https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun;;;;
Codi;Nom;Sexe. Homes;Sexe. Dones;Sexe. Total
081271;Monistrol de Montserrat;55,4;76,5;131,9
171096;Montagut i Oix;13,8;16,3;30,2
430862;Montblanc;109,7;165,4;275,1
430884;Montbrió del Camp;52,3;78,9;131,3
081252;Montcada i Reixac;798,2;1203,3;2001,4
081304;Montclar;1,0;0,6;1,6
251399;Montellà i Martinet;6,2;8,8;14,9
081311;Montesquiu;22,7;36,4;59,1
251403;Montferrer i Castellbò;9,1;14,7;23,8
430897;Montferri;11,3;10,7;21,9
251386;Montgai;3,3;8,0;11,3
081265;Montgat;196,3;291,3;487,6
081326;Montmajor;1,1;4,3;5,4
081332;Montmaneu;1,4;1,5;2,9
430901;Montmell, el;64,4;78,9;143,3
081350;Montmeló;147,3;249,7;396,9
251425;Montoliu de Lleida;0,7;3,4;4,1
251410;Montoliu de Segarra;0,8;2,3;3,0
251431;Montornès de Segarra;1,6;1,2;2,8
081363;Montornès del Vallès;340,0;546,3;886,3
430918;Mont-ral;4,5;1,3;5,8
171100;Mont-ras;22,6;19,1;41,7
430923;Mont-roig del Camp;254,3;388,8;643,2
081379;Montseny;6,6;10,9;17,5
430939;Móra d'Ebre;118,3;165,0;283,3
430944;Móra la Nova;77,4;105,8;183,3
430957;Morell, el;56,9;101,0;157,9
430960;Morera de Montsant, la;3,1;0,0;3,1
081290;Muntanyola;9,3;14,7;24,0
081398;Mura;4,6;2,8;7,4
251459;Nalec;0,3;1,0;1,3
250254;Naut Aran;8,3;5,3;13,6
081402;Navarcles;93,1;121,4;214,5
081419;Navàs;121,2;162,8;284,0
171117;Navata;15,8;16,2;31,9
251462;Navès;0,9;4,0;4,9
081424;Nou de Berguedà, la;4,9;1,6;6,5
430976;Nou de Gaià, la;12,6;18,9;31,5
430982;Nulles;6,8;14,9;21,7
251484;Odèn;1,5;0,3;1,8
081430;Òdena;74,9;99,9;174,8
171122;Ogassa;1,5;3,4;4,9
081458;Olèrdola;64,3;87,8;152,1
081461;Olesa de Bonesvalls;38,9;43,3;82,3
081477;Olesa de Montserrat;410,3;651,8;1062,1
251497;Oliana;15,3;24,3;39,6
251500;Oliola;0,0;0,8;0,8
251517;Olius;10,8;13,9;24,7
081483;Olivella;90,1;119,5;209,6
081496;Olost;12,7;28,0;40,7
171143;Olot;634,9;718,3;1353,2
251522;Oluges, les;1,3;2,8;4,1
081445;Olvan;13,8;25,4;39,3
251538;Omellons, els;1,3;1,8;3,1
251543;Omells de na Gaia, els;0,3;4,0;4,3
171156;Ordis;1,9;3,4;5,3
251556;Organyà;12,3;18,4;30,7
081509;Orís;6,1;6,8;12,9
081516;Oristà;4,2;6,8;10,9
081521;Orpí;2,6;5,3;7,9
081537;Òrrius;16,9;16,8;33,8
251569;Os de Balaguer;6,7;14,0;20,7
171169;Osor;12,7;12,8;25,5
251575;Ossó de Sió;3,1;1,0;4,1
081542;Pacs del Penedès;14,4;22,5;36,9
081555;Palafolls;163,1;242,7;405,8
171175;Palafrugell;325,6;463,9;789,5
171181;Palamós;262,1;314,3;576,4
251581;Palau d'Anglesola, el;24,8;45,3;70,1
171194;Palau de Santa Eulàlia;1,3;0,4;1,8
171215;Palau-sator;1,8;3,4;5,2
171208;Palau-saverdera;19,5;18,9;38,4
081568;Palau-solità i Plegamans;219,7;341,5;561,2
431009;Pallaresos, els;66,8;110,5;177,3
081574;Pallejà;141,2;237,1;378,3
430995;Palma d'Ebre, la;3,8;7,6;11,3
089058;Palma de Cervelló, la;41,2;50,6;91,8
171236;Palol de Revardit;4,6;4,5;9,1
171241;Pals;25,1;23,5;48,6
081580;Papiol, el;70,3;92,4;162,8
171254;Pardines;2,6;1,7;4,3
081593;Parets del Vallès;282,9;429,9;712,8
171267;Parlavà;6,6;3,6;10,2
431016;Passanant i Belltall;4,9;2,9;7,8
171289;Pau;6,3;10,5;16,8
431021;Paüls;2,8;11,3;14,2
171292;Pedret i Marzà;3,3;2,3;5,7
251641;Penelles;4,5;3,3;7,8
171306;Pera, la;5,4;7,8;13,2
081607;Perafita;6,4;9,3;15,8
431037;Perafort;22,6;20,9;43,5
171328;Peralada;16,4;27,3;43,8
251654;Peramola;1,0;3,4;4,4
431042;Perelló, el;46,1;42,8;88,8
081614;Piera;391,3;580,5;971,8
431055;Piles, les;1,3;2,3;3,7
081635;Pineda de Mar;651,4;934,2;1585,6
431068;Pinell de Brai, el;19,0;11,3;30,3
