Ajuntaments 
Institut d'Estadística de Catalunya
https://www.idescat.cat/codis/?id=50&n=4
Codi;Nom;Codi ajuntament;Codi comarca;
081957;Sant Agustí de Lluçanès;0819570005;24;
081960;Sant Andreu de la Barca;0819600000;11;
081976;Sant Andreu de Llavaneres;0819760009;21;
171576;Sant Andreu Salou;1715760009;20;
171833;Sant Aniol de Finestres;1718330008;19;
081982;Sant Antoni de Vilamajor;0819820002;41;
081995;Sant Bartomeu del Grau;0819950006;24;
082009;Sant Boi de Llobregat;0820090004;11;
082016;Sant Boi de Lluçanès;0820160009;24;
082037;Sant Cebrià de Vallalta;0820370005;21;
082021;Sant Celoni;0820210007;41;
082042;Sant Climent de Llobregat;0820420002;11;
171582;Sant Climent Sescebes;1715820002;02;
082055;Sant Cugat del Vallès;0820550006;40;
082068;Sant Cugat Sesgarrigues;0820680001;03;
251961;Sant Esteve de la Sarga;2519610007;25;
082074;Sant Esteve de Palautordera;0820740003;41;
082080;Sant Esteve Sesrovires;0820800000;11;
171595;Sant Feliu de Buixalleu;1715950006;34;
082107;Sant Feliu de Codines;0821070005;41;
171609;Sant Feliu de Guíxols;1716090004;10;
082114;Sant Feliu de Llobregat;0821140003;11;
171616;Sant Feliu de Pallerols;1716160009;19;
082129;Sant Feliu Sasserra;0821290004;07;
171621;Sant Ferriol;1716210007;19;
082093;Sant Fost de Campsentelles;0820930008;41;
082135;Sant Fruitós de Bages;0821350006;07;
171637;Sant Gregori;1716370005;20;
251924;Sant Guim de Freixenet;2519240003;32;
251977;Sant Guim de la Plana;2519770005;32;
171642;Sant Hilari Sacalm;1716420002;34;
082153;Sant Hipòlit de Voltregà;0821530008;24;
081939;Sant Iscle de Vallalta;0819390004;21;
439023;Sant Jaume d'Enveja;4390230008;22;
082166;Sant Jaume de Frontanyà;0821660009;14;
171655;Sant Jaume de Llierca;1716550006;19;
431378;Sant Jaume dels Domenys;4313780001;12;
171674;Sant Joan de les Abadesses;1716740003;31;
171680;Sant Joan de Mollet;1716800000;20;
082188;Sant Joan de Vilatorrada;0821880001;07;
082172;Sant Joan Despí;0821720002;11;
171851;Sant Joan les Fonts;1718510007;19;
171668;Sant Jordi Desvalls;1716680001;20;
089030;Sant Julià de Cerdanyola;0890300000;14;
